velvollisuus,obligation
suojeltu,protected
suojella,protect
tukitoimia,support measures
lauhtua,melt
edelleen,still
paikoin,in places
rehellisesti,honestly
puute,shortage
viisu,song
edustaja ,representative
saastuttaminen,pollution
lämpeneminen,warming up
päästö,emission
teollisuus,industry
heikkenee,weaken
laatu,quality
isyysvapaata,paternity leave
sijainen,replacement
tuhoja,destruction
elintarvike,grocery
arjessa,in everyday life
vaikeuttaa,hamper
kunto,fitness
tyyni,calm
riittävyys,sufficiency
Äänestys,Vote
Kysely,Survey
Kokoomus,Coalition
Ydinvoimala,Nuclear Power Plant
Käytävä,Aisle
Tarkoitus,Purpose
Kannattaa,Worth to
Tutkimus,Research
Poutainen,Dusty
Arkisto,Archive
Käräjäoikeus,District Court
Teho,Intensive
Piirit,Unit
Ennustaa,Predict
Keskimäärin,Average
Hävikki,Waste
Uskoo,Believe
Tulevaisuudessa,in the future
Kuluttaja,Consumer
Liito,Association
Arkku,Coffin
Kuningatar,Queen
Maisema,Landscape
Vaihtelee,Vary
Laittomat ,Illegal
Sotilaat,Soldiers
Liittyä,Join
Velka,Debt
Korko,Interest
Kulutus,Consumption
Pulaa,Shortage
Pahimmillaan ,At worst
Kohde,Subject
Tuomitsee,Condemn
Taakka,Burden
Voimavara,Resource
Paranna,Improve
Työoloja,Working Condition
Sijoitus,Investment
Joskus,Someday
Yhteistyö,Cooperation
Rouva,Madam
Aita,Fence
Kaakkois,Southeast
Korkeus,Height
Kiirehtiä ,Speed up
Suosittelee,Recommend
Väylävirasto,Highway Agency
Lähes,Almost
Epäsuosittuja,Unpopular
Luota,Trust
Tuottaa ,Produce
Vaikka,Although
Epäilee,Suspect
Hyöty,Benefit
Onnettomuus,Accident
Riita,Dispute
Häiritsee,Interfere
Tapaaminen,Meeting
Auttaminen,Helping
Puolustusliitto ,Defense Alliance
Kirjallisuus,Literature
Ennätys,Record
Väkiluku,Population
Ehkäisyä,Contraception
Maanjäristys,Earthquake
Matkustamo,Cabin
Maalaus,Painting
Viivästyy,Delayed
Säännöllisesti,Regularly
Iskut,Attacks
Rokotukset,Vaccinations
Puheenjohtaja,President
Ohjusiskut ,Missile Attacks
Julma,Cruel
Tukea,Support
Parhaillaan,Presently
Pakotteita,Sanctions
Kykyä,Ability
Eduskunta,Parliament
Vaikuta,Affect
Vakituisesti,Regularly
Vakavasti,Seriously
Kaamos,Polar Night
Tappiota,Loss
Luottamus,Confidence
haastattelu,Interview
Voittoja,Profits
Mielenosoitus,Protest
Palkinto,Prize
Päällikkö ,Chief
Perustaa,Establish
itsenäisyyspäivä,independence day
tuki,support
 varhaiskasvatus,early education
pilvinen,cloudy
edustaa,represent
Itsenäinen,independent
samanlaisia,similar
sirkus,circus
lahjus,bribery
Ruuhka,Congestion
Pahin,Worst
Äitiyspakkaus,Maternity package
yhteinen,common/shared
yksityis,private
perustuslaki,constitution
vammaisuuden,disability
iän,age
sukupuolen,gender
yhdenvertaisia ,equal
ihailla,admire
revontulia,northen lights
kohta,point
koiravaljakko,dog sled
kalastaa,fishing
hiihtää,move on ski 
lasketella,go down hill ski
erämaaluonto,wilderness nature
kanavaa,channel/canal
kylkilihaa,rib meat/pork ribs
hallita,control/dominate/rule
muiden muassa,among other things
kuuluisaa,famous
saaristo,archipelago
ainutlaatuinen,unique
vilkas,vivid/alive/lively
virta,stream/flow/river
keskiaikaisia,middle ages/medieval
huvipuisto,amusement park
viihtyä,enjoy/thrive
nähtävää,things to see
säkeistö,verse/stanza
askel ,step/move
kuvitella,imagine
merkitys,importance/significance/meaning
sävel,melody
säveltää,compose
maamme laulu,national song
iskulause,slogan
tunnus,logo/badge
merkkihenkilö,iconic person/celebrity
arvostus,appreciation/respect
isänmaa,fatherland
toisaalta,on the other hand
alkamista,beginning
salko,pole/mast
paeta,escape
vaikkapa,say/for example
halki,across
ei aavistustakaan,i have no idea
ihan mitä vain,whatever
yhteiskunna,society
kotoutuminen,integration
räjähdysmäisesti,explosively
osuus,share/portion
huhteetonta,blameless
entistä enemmän,more and more
väestö,population
lausuminen,pronunciation
kauhistus,horror
tasavalta,republic/common wealth
arvella,guess
tiedemies,scientist
melkein,almost
tosiasiaa,fact
elää,to live
ainakin,at least
lottovoitto,winning the lottery/jackpot
totuus,truth
hyvä ajatus,good idea
kyllä se järjestyy,yes it's alright
laiska,lazy
piristy,cheer up
kateellinen,jealous
tyytyväinen,pleased
käytännöllinen,practical
epäily, suspicion
houkutella,lure
rangaista, penalize
näyttely, exhibition
kuumuus, heat
neuvoston, council
vahinko, damage
metsittäminen, forestation
ylioppilaat, graduate students
jäädyttää, freeze
lähetystö, delegation
suurlähetystö, embassy
edustusto, representation
huippu, summit/top
epäreilu,unfair
tulo, income
toimeentulo, livelihood
selväsanainen,outspoken
muodostaja,shaper
rahoitus,funding
häirintä,interference
kokee,experiences
uskalla,dare
kokemus,experience
loukattu,injured
tuijotetaan,we stare
varsinkin,especially
drooni,drone
vahingoittivat,harmed
syyttää,blame
epäonnistuminen,failure
hyökkäys,attack
kuivenee, dry
pato, dam
Tilapäinen, temporary
hyötyä, useful
varmuutta, confidence
rohkeutta, courage
vapaaehtoinen, voluntary
kiinnostus, interest
ripuli, diarrhea
verhot, drapes
sälekaihtimet, blinds
päiväpeitto, bedspread
tyyny, pillow
tyynyliinä, pillowcase
lakana, sheet
patja, mattress
pussilakana, a duvet cover
vessa, toilet
vessanpönttö, toilet bowl
vessapaperi, toilet paper
roskakori, trash can
lavuaari, sink
pyyhe, towel
kodinhoitohuone, utility room
silitysrauta, iron
silityslauta, ironing board
kylpyhuone, bath room
suihku, shower
patja, mattress
korvata, replace/compensate
muistuttaa, reminds
vahinko, damage
valokuvata, photograph
tulvia, flood
pahempi, worse
auheuttaa, cause
varoittaa, warn
saakka, until/since
maanvyöryjä, landslides
minkkiä, mink
häki, cage
tarha, farm/ranch
rauhoittua, calm down
jonkin verran, somewhat/ a little bit
leviäminen, spread
tapettu, killed
vaaran takia, by danger
tilaisuus, opportunity/occasion/session/function/reception/opening/event
työskennellä, work
keräys, collection/gathering
kerätä, collect/gather
hätä, emergency/urgency
alle, under/below/beneath
varastaa, steal
patukka, bar
levy, plate/disc/disk/sheet/slab/tile
lihoa, gain weight
laihtua, lose weight
myöskään, neither
vaihtoehto, option/choice/alternative
ilmaus, expression/term/manifestation/demonstration/token
vaalipiiri, constituency
ehto, condition/clause/prerequisite/stipulation
takka, fireplace
takaa, guranttee
vuoristo, range
pako, escape/retreat/flight/fleeing/hole/tear
uhka, threat
tekoja, actions
etukäteen, in advance
arvata, predict
kerho, club/society
kaakkois, southeastern
hälytys, alarm/alert
paikkalista, local
pormestari, mayor
julistaa, declare/proclaim/announce/publish
lähtöaula, departure hall
aula, lounge/lobby/hall/vestibule
osoittaa, demonstrate/indicate/show
vastaan, against/con
liputus, flagging
kunniaksi, in honor of
kunnia, honor/glory/distinction/kudos/canopy
enimmäkseen, mostly/mainly/largely/predominantly
liukkaita, slippery
valita, choose/select/dial/elect/pick/set
sijaita, be located/be situated/be seated in/be based
timantti, diamond
noutaja, retriever
lepo, rest
lepotuoli, lounge chair
hereillä, awake
smurffeja, smurfs
torjunta, control/prevention
luovuttaa, alienate/hand over/dispose of/abandon/assign/surrender/extradite/relinquish/give in/yield/quit
väärennetty, couterfeit/phony/false/fake/sham/faked/adulterate
ikävä, tedious/nasty/unpleasant/sad/bad/regrettable/disappointing/rotten/foul
muistuttaa, remind/recall/suggest
epätavallinen, uncommon/unusual/unorthodox
edelleen, still/further/again/onward
taistelu, fight/battle
järkyttää, upset/disturb/shock/shake/discompose/outrage
raketti, rocket
ääri, extreme
kaista, lane
hallita, controle/rule/govern/dominate
uskonto, religion
tuhota, destroy
peite, cover/mask/blanket/coating
